,_id,date,favourites,language,latitude,longitude,retweets,tweet,user
37,5cc041d391c00645a40216e9,24/04/2019 11:00,0,en,33.76094614,-84.38584105,0,"Mad Matt Assemble!
.
.
.
.
.
.
#dragoncon #dragoncon2018 #avengers #avengersendgame #avengersinfinitywar… https://t.co/AIfzwgoUcP",DamienCampos
38,5cc0420d91c00645a40216eb,24/04/2019 11:01,0,en,14.51877954,121.0199264,0,"The second viewing 😍 #AvengersEndgame #DontSpoilTheEndgame #WhateverItTakes (@ Newport Cinemas in Pasay City, Metro… https://t.co/jvq4fzT9Gd",rjvirrey
39,5cc0421191c00645a40216ed,24/04/2019 11:01,0,en,10.3111,123.892,0,"""What ever it takes..""

#AvengersEndGame @ Cebu City https://t.co/JXtmGjx5hC",imKarrenxxi
40,5cc0421591c00645a40216ef,24/04/2019 11:01,0,en,-6.22835734,106.6065232,0,#nonton #avengers #avengersendgame #movie #great #love #like #instagood #igers #me #like #follow #marvel @ MaxxBox… https://t.co/2krBf5I37n,TOMSWIJAYA
41,5cc0422091c00645a40216f1,24/04/2019 11:01,0,en,42.1145,-80.0762,0,Day 24 of the #30daychallenge #drawingchallenge on the road to #avengersendgame its #blackpanther #sketch #ink… https://t.co/5Q1ZugnZoM,EllzRaizA
42,5cc0427691c00645a40216f3,24/04/2019 11:03,0,en,14.34550002,100.6093813,0,#AvengersEndgame (@ Major Cineplex in Phra Nakhon Si Ayutthaya) https://t.co/CifFs2KfSk,helloxophia
43,5cc0435a91c00645a40216f5,24/04/2019 11:07,0,en,-2.95834572,104.7239032,0,#AvengersEndgame 😭😭🥺🥺 https://t.co/fIQpeBc4zo,thisrainy
44,5cc0436991c00645a40216f7,24/04/2019 11:07,0,en,-6.3296034,107.2930397,0,"Let bygone be bygone
.
.
.
.
.
#avengersendgame 
#avengers @ Technomart Galuh Mas Karawang https://t.co/fYlBNZwEKe",kudoshine
45,5cc0436d91c00645a40216f9,24/04/2019 11:07,0,en,29.30459447,47.94298804,0,"#AvengersEndgame (@ Vox Cinema | Theater By Rhodes in Al Kuwayt, Al Farwaniyah) https://t.co/rYYQYWPZL8",IamBoushehri
46,5cc0439991c00645a40216fb,24/04/2019 11:08,0,ar,24.81731918,46.66487396,0,"Now watching #avengersendgame (@ VOX Cinemas in Al Yasmeen, Riyadh) https://t.co/U2F32zf1L2 https://t.co/WKL21zRc9s",LADY__TALR
47,5cc043dc91c00645a40216fd,24/04/2019 11:09,0,en,5.83868303,118.1192807,0,Yes. Movie time. Super excited! Heard the review was really good. Thanks wifey for taking care of the kid 😄… https://t.co/2Tj11pcHsf,bernardtzing
48,5cc0441f91c00645a40216ff,24/04/2019 11:10,0,en,31.2,121.5,0,"Just left The Avengers: Endgame China premiere like 😏😏 #avengersendgame @ Shanghai, China https://t.co/rsyT7o5Njh",theRealDJreaper
49,5cc0449591c00645a4021701,24/04/2019 11:12,0,ru,52.4417,30.9833,0,"Спасибо контактик, теперь я знаю, что не выжил бы. 15 минут мелочи, осталось дождаться фильма 
#щелчоктаноса… https://t.co/chkMrXymY6",Angelgth
50,5cc044ba91c00645a4021703,24/04/2019 11:12,0,en,14.55060405,121.0501957,0,Our favourite teen heartthrob Donny Pangilinan @donnypangilinan at the Globe @enjoyglobe's Special Block Screening… https://t.co/2kxQfHn0cs,byxspeaks
51,5cc0458191c00645a4021705,24/04/2019 11:16,0,en,-6.30181984,106.6541879,0,WE ARE READY 💜 #avengersendgame @ The Breeze BSD City https://t.co/VAjWrzznmu,JaciDeeBlacks
52,5cc045c791c00645a4021707,24/04/2019 11:17,0,en,34.15857826,-118.3250169,0,"🎥 @marvel marvelstudios #avengersendgame 🙌🏽💯 EPIC!!!
#ironman #captainamerica #thor #blackwidow #hulk #hawkeye… https://t.co/etZmqkMS58",romeoatlsfinest
53,5cc0461491c00645a4021709,24/04/2019 11:18,0,en,13.64738276,100.6814709,0,"Avengers: Endgame  #AvengersEndgame #Avengers (@ Mega Cineplex in Bang Phli, Samut Prakan) https://t.co/IskCNQQrGV",AeyLY
54,5cc0463391c00645a402170b,24/04/2019 11:19,0,th,13.58310021,100.6091731,0,#avengers #avengersendgame #อเวนเจอร์ #อเวนเจอร์เผด็จศึก #avengers4 #marvel @ Major Cineplex Robinson Samutprakan https://t.co/99GkwX2uPH,Gunpipat_W
55,5cc0464c91c00645a402170d,24/04/2019 11:19,0,en,10.71420045,122.5514439,0,so ready for the #avengersendgame @ SM City Iloilo https://t.co/Hzyfi8Yb52,vinnigretch
56,5cc046c991c00645a402170f,24/04/2019 11:21,0,en,7.44547531,125.8095825,0,"Survived the 3 hours.

#AvengersEndGame
#NoPostCredits @ CityMall Cinema Tagum https://t.co/xJRLwGO8gV",joveleO
57,5cc046fb91c00645a4021711,24/04/2019 11:22,0,en,10.71420045,122.5514439,0,so ready for the #avengersendgame @ SM City Iloilo https://t.co/Mki2GRobOh,vinnigretch
58,5cc0474e91c00645a4021713,24/04/2019 11:23,0,en,52.51004618,13.37317387,0,And now #avengersendgame @ Imax 3D im SONY Center https://t.co/N13Ocm6aEy,TheatreTwins
59,5cc0476191c00645a4021715,24/04/2019 11:24,0,en,10.71420045,122.5514439,0,so ready for the #avengersendgame @ SM City Iloilo https://t.co/e6nVcECknY,vinnigretch
60,5cc0483391c00645a4021717,24/04/2019 11:27,0,en,13.76588043,100.642645,0,Day 1 #Avengers #AvengersEndgame #WednesdayNight @ SFC Cinema City the Mall Bangkapi https://t.co/8n22IBDZXr,xiaoguin
61,5cc048d691c00645a4021719,24/04/2019 11:30,0,en,13.74587903,100.5350625,0,"วิธีการหลบสปอยล์ที่ถูกต้อง #AvengersEndgame (@ Paragon Cineplex in Pathum Wan, Bangkok) https://t.co/LCBoMJt5Pw",nxnniiie
62,5cc048f591c00645a402171b,24/04/2019 11:30,0,en,13.73147127,100.5692706,0,#รำคาญพวกสปอยล์ #togtag #TandT #avengersendgame @ Emquartier - เอ็มควอเทียร์ https://t.co/n7VyyNPTcG,dekwanz
63,5cc0495391c00645a402171d,24/04/2019 11:32,0,ru,55.75311,37.58753,0,"На закрытой премьере фильма #Марвел - #МстителиФинал.
#Marvel #AvengersEndgame #Avengethefallen @ Каро 11 Октябрь https://t.co/zYljf74IlC",ap_alexpayne
64,5cc0497591c00645a402171f,24/04/2019 11:33,0,en,13.76326031,100.5723345,0,"เชิญสปอยล์ได้ตามสบาย

#AvengersEndGame @ MCOT radio network https://t.co/GZn8IKpJXT",djsillyrabbit
65,5cc04a4491c00645a4021721,24/04/2019 11:36,0,en,14.5359618,120.9807056,0,"What An Epic Ending,
22 Films, Spanning 11 Years...

Wow Just Wow!!!!!!!

#AvengersEndGame
#DontSpoilTheEndgame @ I… https://t.co/21pS0UYY5G",officialJEFF03
66,5cc04af891c00645a4021723,24/04/2019 11:39,0,en,14.65821425,120.9717321,0,"Oh Yes! #avengersendgame 😁😄

PS. Salamat sa mabait kong mhie❤️ sa pagpayag. 😘 @ SM Center Sangandaan https://t.co/HhyACzYxC4",KhingGamido
67,5cc04afd91c00645a4021725,24/04/2019 11:39,0,it,45.439739,10.864349,0,#thespacecinema #cinema #marvel #marvelstudios #disney #avengers #avengersendgame @ The Space Cinema https://t.co/Vc4o57HoLu,seba_b1983
68,5cc04b0091c00645a4021727,24/04/2019 11:39,0,en,14.55042093,121.0513154,0,"Yey this is it!

#AvengersEndgame
#GlobeAvengers
#CompleteTheMission @ Bonifacio Global City ""Fort BGC"" - Taguig Ci… https://t.co/6PlyzAufmQ",ChikkanessAve
69,5cc04b2691c00645a4021729,24/04/2019 11:40,0,en,14.53521222,120.9808213,0,Whatever it takes. ❤️ #avengersendgame @ SM Cinema https://t.co/8A6MojRyRe,asdfghazelnep
70,5cc04b3491c00645a402172b,24/04/2019 11:40,0,en,13.758832,100.56649,0,"ไปจักรวาลอื่นแป๊บ #AvengersEndgame (@ Zigma Cinestadium in 방콕, Krung Thep Maha Nakhon) https://t.co/MOMQqqxqGg",MinMiz
71,5cc04b4191c00645a402172d,24/04/2019 11:40,0,en,7.934619,125.100531,0,"Oh my good lord!!! #AvengersEndgame (@ Movieworld in Valencia City, Bukidnon) https://t.co/td6Neyvue1",jude_rick
72,5cc04b4e91c00645a402172f,24/04/2019 11:40,0,en,1.43616734,103.7863032,0,Settled at the theatre !!!! No rush or crowd at the theatre as all should have booked the tickets at adavance sales… https://t.co/SNHLVqdHM4,Ayyappakumar10
73,5cc04b5991c00645a4021731,24/04/2019 11:41,0,th,13.81190967,100.6195869,0,#AvengersEndGame is the best ! i love you all. อยากร้องไห้ @ Sfx Cinema The Crytral Ekamai-Ramintra https://t.co/hiafYr85Si,CeciliaKwang
74,5cc04b6691c00645a4021733,24/04/2019 11:41,0,it,45.439739,10.864349,0,#thespacecinema #cinema #marvel #marvelstudios #disney #avengers #avengersendgame #moneta #coin @ The Space Cinema https://t.co/Z12oUgAqzW,seba_b1983
