date,BPL,CDLX,VFF,YELP,PBYI,TRXC
2019-04-24,32.9474,14.93,12.29,38.04,34.06,2.01
2019-04-25,32.8492,14.98,11.62,39.51,33.61,1.96
2019-04-26,32.8689,15.05,11.57,39.52,33.41,2.05
2019-04-29,33.0162,15.12,12.01,40.06,32.48,2.05
2019-04-30,32.8591,15.6,12.5,40.06,32.12,2.0
2019-05-01,32.8983,15.61,11.9,39.64,31.37,1.95
2019-05-02,32.6234,15.8,11.53,40.19,32.79,2.01
2019-05-03,32.8001,16.96,11.79,40.98,32.35,2.06
2019-05-06,32.8001,17.39,11.9,40.73,31.94,2.08
2019-05-07,32.9573,17.12,11.25,39.91,30.46,2.11
2019-05-08,32.8001,17.58,10.95,40.57,30.02,2.07
2019-05-09,31.9654,16.87,11.01,39.73,30.02,2.1
2019-05-10,41.0002,21.25,12.61,34.02,18.42,1.29
2019-05-13,40.9511,21.0,12.37,31.56,16.89,1.27
2019-05-14,41.0493,20.18,12.68,32.3,17.55,1.37
2019-05-15,41.0493,20.07,13.14,32.93,16.59,1.41
2019-05-16,41.01,20.1,13.79,32.85,16.88,1.37
2019-05-17,40.98,19.78,13.32,32.41,16.59,1.31
2019-05-20,40.96,20.38,13.28,31.69,15.63,1.29
